dataset	command	min_depth	cpp_seconds	rust_seconds	speedup	dataset_label	min_depth_label	command_label
danio_albolineatus	distrib	1	36.8905	1.1065	33.3398	Danio Albolineatus	1	distrib d1
danio_albolineatus	distrib	2	27.5811	1.23791	22.2804	Danio Albolineatus	2	distrib d2
danio_albolineatus	distrib	5	35.064	1.19469	29.3498	Danio Albolineatus	5	distrib d5
danio_albolineatus	distrib	10	34.9609	1.41932	24.6322	Danio Albolineatus	10	distrib d10
danio_albolineatus	freq	1	28.7737	1.08473	26.5262	Danio Albolineatus	1	freq d1
danio_albolineatus	freq	2	28.7946	1.24789	23.0747	Danio Albolineatus	2	freq d2
danio_albolineatus	freq	5	29.7955	1.204	24.7471	Danio Albolineatus	5	freq d5
danio_albolineatus	freq	10	29.0723	1.43958	20.1949	Danio Albolineatus	10	freq d10
danio_albolineatus	process	1	373.064	119.574	3.11995	Danio Albolineatus	1	process d1
danio_albolineatus	signif	1	36.8116	33.7357	1.09118	Danio Albolineatus	1	signif d1
danio_albolineatus	signif	2	29.1115	32.5569	0.894173	Danio Albolineatus	2	signif d2
danio_albolineatus	signif	5	34.5403	32.8042	1.05292	Danio Albolineatus	5	signif d5
danio_albolineatus	signif	10	38.3488	32.1834	1.19157	Danio Albolineatus	10	signif d10
notothenia_rossii	distrib	1	10.2728	0.575592	17.8473	Notothenia Rossii	1	distrib d1
notothenia_rossii	distrib	2	12.883	0.658554	19.5625	Notothenia Rossii	2	distrib d2
notothenia_rossii	distrib	5	12.5348	0.861995	14.5416	Notothenia Rossii	5	distrib d5
notothenia_rossii	distrib	10	14.3345	0.68338	20.9759	Notothenia Rossii	10	distrib d10
notothenia_rossii	freq	1	11.0736	0.581582	19.0405	Notothenia Rossii	1	freq d1
notothenia_rossii	freq	2	11.0355	0.641496	17.2027	Notothenia Rossii	2	freq d2
notothenia_rossii	freq	5	11.4868	0.901921	12.7359	Notothenia Rossii	5	freq d5
notothenia_rossii	freq	10	11.3333	0.849194	13.3459	Notothenia Rossii	10	freq d10
notothenia_rossii	process	1	153.798	68.0353	2.26057	Notothenia Rossii	1	process d1
notothenia_rossii	signif	1	10.481	11.3623	0.922438	Notothenia Rossii	1	signif d1
notothenia_rossii	signif	2	12.2181	11.6828	1.04582	Notothenia Rossii	2	signif d2
notothenia_rossii	signif	5	13.0509	13.038	1.00099	Notothenia Rossii	5	signif d5
notothenia_rossii	signif	10	13.7796	12.5865	1.09479	Notothenia Rossii	10	signif d10
plecoglossus_altivelis	distrib	1	7.47295	0.447886	16.6849	Plecoglossus Altivelis	1	distrib d1
plecoglossus_altivelis	distrib	2	7.34305	0.442157	16.6073	Plecoglossus Altivelis	2	distrib d2
plecoglossus_altivelis	distrib	5	8.35493	0.42796	19.5227	Plecoglossus Altivelis	5	distrib d5
plecoglossus_altivelis	distrib	10	8.78226	0.417151	21.0529	Plecoglossus Altivelis	10	distrib d10
plecoglossus_altivelis	freq	1	7.64678	0.406225	18.824	Plecoglossus Altivelis	1	freq d1
plecoglossus_altivelis	freq	2	7.50491	0.454609	16.5085	Plecoglossus Altivelis	2	freq d2
plecoglossus_altivelis	freq	5	7.36433	0.40682	18.1022	Plecoglossus Altivelis	5	freq d5
plecoglossus_altivelis	freq	10	7.37431	0.463352	15.9151	Plecoglossus Altivelis	10	freq d10
plecoglossus_altivelis	process	1	134.748	55.3971	2.43241	Plecoglossus Altivelis	1	process d1
plecoglossus_altivelis	signif	1	7.70001	9.24441	0.832937	Plecoglossus Altivelis	1	signif d1
plecoglossus_altivelis	signif	2	7.96713	8.89231	0.895957	Plecoglossus Altivelis	2	signif d2
plecoglossus_altivelis	signif	5	8.80302	9.00129	0.977973	Plecoglossus Altivelis	5	signif d5
plecoglossus_altivelis	signif	10	8.45016	9.31274	0.907376	Plecoglossus Altivelis	10	signif d10
tinca_tinca	distrib	1	6.28541	0.324123	19.3921	Tinca Tinca	1	distrib d1
tinca_tinca	distrib	2	7.51956	0.347972	21.6097	Tinca Tinca	2	distrib d2
tinca_tinca	distrib	5	8.44147	0.330764	25.5211	Tinca Tinca	5	distrib d5
tinca_tinca	distrib	10	9.42619	0.339394	27.7736	Tinca Tinca	10	distrib d10
tinca_tinca	freq	1	6.76285	0.305427	22.1423	Tinca Tinca	1	freq d1
tinca_tinca	freq	2	7.39489	0.34114	21.677	Tinca Tinca	2	freq d2
tinca_tinca	freq	5	6.72775	0.343341	19.595	Tinca Tinca	5	freq d5
tinca_tinca	freq	10	7.41269	0.289175	25.6339	Tinca Tinca	10	freq d10
tinca_tinca	process	1	108.49	49.8417	2.17668	Tinca Tinca	1	process d1
tinca_tinca	signif	1	5.70566	6.23223	0.915508	Tinca Tinca	1	signif d1
tinca_tinca	signif	2	6.51065	5.94271	1.09557	Tinca Tinca	2	signif d2
tinca_tinca	signif	5	7.78192	6.08321	1.27925	Tinca Tinca	5	signif d5
tinca_tinca	signif	10	10.4564	6.07081	1.72241	Tinca Tinca	10	signif d10
