command_label	datasets	rust_seconds	cpp_seconds	geomean_speedup	min_speedup	max_speedup	rust_wins	cpp_wins
process d1	4	325.926	743.006	2.09197	1.68691	2.90355	4	0
freq d1	4	2.08013	56.9818	28.6975	21.7399	38.0372	4	0
freq d2	4	2.41077	57.5077	24.973	18.045	34.1969	4	0
freq d5	4	2.2748	56.779	25.7216	18.2892	33.6694	4	0
freq d10	4	2.32607	57.5618	26.1448	18.5197	34.5244	4	0
distrib d1	4	2.10615	65.8307	30.9558	29.4315	33.1312	4	0
distrib d2	4	2.37312	71.4185	30.0708	24.8597	37.2246	4	0
distrib d5	4	2.39792	64.2317	27.9003	22.5875	35.4576	4	0
distrib d10	4	2.28148	67.6501	30.1863	22.0921	37.7365	4	0
signif d1	4	50.7634	82.2349	1.52125	1.1105	1.86158	4	0
signif d2	4	54.4514	75.5847	1.31088	0.878933	1.64305	3	1
signif d5	4	53.7647	79.3625	1.37527	0.963405	1.59671	3	1
signif d10	4	53.8363	71.6822	1.30797	1.12021	1.44016	4	0
